"","live1","live2","live3","mean","sd","stn","depthid","substrate"
"stn4-d1-bulk-a",1.3499375653876,1.07542865099766,1.1662950358966,1.19722041742729,0.139843020694635,"stn4","d1","a"
"stn4-d1-bulk-b",4.96622870988573,4.99725497888941,9.68250035630874,6.54866134836129,2.71402852843183,"stn4","d1","b"
"stn4-d1-bulk-L",105.165830280701,117.658683944919,74.8401926100432,99.2215689452209,22.0194568999115,"stn4","d1","L"
"stn4-d1-bulk-p1",8.47421495201442,14.5618439497673,5.01125768451664,9.34910552876613,4.83502840151592,"stn4","d1","p1"
"stn4-d1-bulk-p2",21.4566526210289,23.7865512199239,19.7996384528874,21.6809474312801,2.00289776933793,"stn4","d1","p2"
"stn4-d1-bulk-p3",21.7389769976214,44.3955082191684,16.6610800503475,27.5985217557124,14.7665271828527,"stn4","d1","p3"
"stn4-d1-bulk-p4",22.091882468362,26.9619779645824,34.5847361325796,27.879532188508,6.29676722487587,"stn4","d1","p4"
"stn3-d1-bulk-a",1.80682956456315,1.65920893616888,2.27791283080773,1.91465044384659,0.323137174923297,"stn3","d1","a"
"stn3-d1-bulk-b",13.4380713124655,3.78407887294806,3.90903827218278,7.04372948586545,5.53801492047643,"stn3","d1","b"
"stn3-d1-bulk-L",100.161109474952,93.2902927351022,72.5783078889546,88.676570033003,14.3585362663479,"stn3","d1","L"
"stn3-d1-bulk-p1",38.3618161732698,25.0833116253832,11.7889822386758,25.0780366791096,13.2864177526401,"stn3","d1","p1"
"stn3-d1-bulk-p2",53.1282046521182,49.137585202504,33.8910718621301,45.3856205722508,10.1525734882793,"stn3","d1","p2"
"stn3-d1-bulk-p3",16.2908449852009,15.2396735374702,10.8675720269405,14.1326968498705,2.87611203452096,"stn3","d1","p3"
"stn3-d1-bulk-p4",16.1278726673914,25.0895882604143,7.61208318520453,16.2765147043367,8.73970061013856,"stn3","d1","p4"
"stn3-d2-bulk-a",2.05519510227695,1.23800837510979,1.22266864925019,1.50529070887898,0.476292933189394,"stn3","d5","a"
"stn3-d2-bulk-b",0.893929753144672,2.1506686934358,1.57384305216536,1.53948049958195,0.629073747485979,"stn3","d5","b"
"stn3-d2-bulk-L",39.0207733058685,25.7716298836264,21.4328528843299,28.7417520246083,9.16242082300616,"stn3","d5","L"
"stn3-d2-bulk-p1",40.485551475753,5.79101843484191,9.79664099292384,18.6910703011729,18.9805376707642,"stn3","d5","p1"
"stn3-d2-bulk-p2",18.7316996426947,9.83758762582768,11.8572287648888,13.4755053444704,4.66266248597957,"stn3","d5","p2"
"stn3-d2-bulk-p3",81.6800128090631,9.45786661584828,4.37667797926433,31.8381858013919,43.2389917676986,"stn3","d5","p3"
"stn3-d2-bulk-p4",9.74019099244076,12.2811103817731,5.91084850691532,9.31071662704307,3.20677334114326,"stn3","d5","p4"
"stn4-d2-bulk-a",0.487623715894468,0.87618242996301,0.483014382727069,0.615606842861516,0.225676846249296,"stn4","d5","a"
"stn4-d2-bulk-b",61.4592282685569,0.807781160941692,0.553794268208816,20.9402678992358,35.0906788106668,"stn4","d5","b"
"stn4-d2-bulk-L",50.5809792653022,24.4403361863256,16.9784505454997,30.6665886657092,17.6453152152083,"stn4","d5","L"
"stn4-d2-bulk-p1",6.92235929795626,12.6189024892892,8.93161923362761,9.49096034029101,2.88916907395238,"stn4","d5","p1"
"stn4-d2-bulk-p2",106.330760977195,162.375622039413,51.4212849058904,106.709222640833,55.4781367487048,"stn4","d5","p2"
"stn4-d2-bulk-p3",12.9949826242975,18.0801041310765,24.3403409324385,18.4718092292708,5.68281298724404,"stn4","d5","p3"
"stn4-d2-bulk-p4",10.6703989957351,18.4411986455989,17.9204736119837,15.6773570844392,4.34396254779994,"stn4","d5","p4"
"stn5-d1-bulk-a",0.752682317465019,0.752649396043163,0.829974417187971,0.778435376898718,0.0446341212124533,"stn5","d1","a"
"stn5-d1-bulk-b",3.59899106567523,3.74002640870095,2.25806890000963,3.19902879146194,0.817940633534641,"stn5","d1","b"
"stn5-d1-bulk-L",27.7751267570132,23.2310011965421,22.4076339551024,24.4712539695525,2.89070319305895,"stn5","d1","L"
"stn5-d1-bulk-p1",1.53572292688294,1.40224043274583,1.91900511118719,1.61898949027199,0.268256264894444,"stn5","d1","p1"
"stn5-d1-bulk-p2",49.0507942323713,26.6641158254246,122.98680334065,66.2339044661485,50.4079308295682,"stn5","d1","p2"
"stn5-d1-bulk-p3",21.3759704056943,25.1712406775713,24.2353363225125,23.5941824685927,1.97720201482941,"stn5","d1","p3"
"stn5-d1-bulk-p4",12.274300029982,14.3364262688253,6.98783753349126,11.1995212774329,3.79035633225532,"stn5","d1","p4"
"stn5-d2-bulk-a",1.08155878173838,1.79391648553364,0.940656228373969,1.272043831882,0.457413032562705,"stn5","d2","a"
"stn5-d2-bulk-b",4.70320432583389,3.92800983422175,2.62698859297766,3.7527342510111,1.04914683905177,"stn5","d2","b"
"stn5-d2-bulk-L",25.2740392069208,16.53767961263,15.7900872810796,19.2006020335434,5.27301648942709,"stn5","d2","L"
"stn5-d2-bulk-p1",15.3101442314128,2.45937804762944,2.08885678621089,6.61945968841771,7.52863333352615,"stn5","d2","p1"
"stn5-d2-bulk-p2",38.440964077886,19.6239025679973,21.1741156053584,26.4129940837472,10.4453260719916,"stn5","d2","p2"
"stn5-d2-bulk-p3",17.9320516996819,27.5881112616207,19.1583509434798,21.5595046349275,5.2568075724143,"stn5","d2","p3"
"stn5-d2-bulk-p4",10.7703469203054,12.8539667970582,9.34149095912556,10.9886015588297,1.76637989782583,"stn5","d2","p4"
"stn5-d3-bulk-a",0.120452434887688,4.25079945369709e-16,0.0137077002465043,0.0447200450447309,0.0659433197147839,"stn5","d3","a"
"stn5-d3-bulk-b",0.359877090409451,1.07815105697474,1.31905592675012,0.919028024711437,0.498995104754005,"stn5","d3","b"
"stn5-d3-bulk-L",4.49888387318242,4.99820584667611,2.61357742280519,4.03688904755458,1.25765360658786,"stn5","d3","L"
"stn5-d3-bulk-p1",0.532902664760521,14.5643148340705,1.09404104473338,5.39708618118814,7.94400906035739,"stn5","d3","p1"
"stn5-d3-bulk-p2",4.0418271256557,4.52755199847828,2.31746586547304,3.628948329869,1.16145247592539,"stn5","d3","p2"
"stn5-d3-bulk-p3",4.87495817415132,4.79137419529622,0.563554989368465,3.40996245293867,2.46541541263971,"stn5","d3","p3"
"stn5-d3-bulk-p4",1.73412487215109,2.44647242930437,0.655469022663501,1.61202210803965,0.901723413471415,"stn5","d3","p4"
"stn5-d4-bulk-a",0.670114800127167,0.573179954808578,0.383524822722879,0.542273192552875,0.145773367773388,"stn5","d4","a"
"stn5-d4-bulk-b",0.233107803408536,0.637803185020971,0.285185124553795,0.385365370994434,0.220162779114202,"stn5","d4","b"
"stn5-d4-bulk-L",14.7810557698785,4.51976626640913,-0.127358263762976,6.39115459084157,7.62835322630227,"stn5","d4","L"
"stn5-d4-bulk-p1",2.18789985696713,0.781871672672386,2.87653606996968,1.94876919986973,1.06761057399179,"stn5","d4","p1"
"stn5-d4-bulk-p2",12.7092105832541,13.878571563646,9.33481087111041,11.9741976726702,2.359369257196,"stn5","d4","p2"
"stn5-d4-bulk-p3",1.52508563608345,1.82052443396952,-0.84577561259233,0.833278152486879,1.46158721270545,"stn5","d4","p3"
"stn5-d4-bulk-p4",3.12857927163053,1.26140521864938,13.0960594832859,5.82868132452192,6.36259960337682,"stn5","d4","p4"
"stn5-d5-bulk-a",0.471665642633016,0.297401758178471,0.174652497446784,0.314573299419423,0.149249282995922,"stn5","d5","a"
"stn5-d5-bulk-b",0.679186212829829,0.450700085874563,0.236822724895656,0.45556967453335,0.221221944062069,"stn5","d5","b"
"stn5-d5-bulk-L",14.0776968714268,13.9034209853675,2.13732101279325,10.0394796231958,6.8440248428162,"stn5","d5","L"
"stn5-d5-bulk-p1",2.27237952991707,1.07493553877308,0.285458412585108,1.21092449375842,1.00041672743584,"stn5","d5","p1"
"stn5-d5-bulk-p2",6.08934937120863,3.86803455075756,4.6009770871509,4.85278700303903,1.13186397512845,"stn5","d5","p2"
"stn5-d5-bulk-p3",1.27811844294019,0.5735776674485,0.538740179959794,0.79681209678283,0.417187322161336,"stn5","d5","p3"
"stn5-d5-bulk-p4",4.84552550735615,7.32755143267378,0.424819991830866,4.19929897728693,3.4964456069306,"stn5","d5","p4"
"stn6-d1-bulk-a",2.84868676965032,0.85522683663387,2.34833010560861,2.01741457063093,1.03711110523543,"stn6","d1","a"
"stn6-d1-bulk-b",35.637542059376,33.5642268193513,19.2704886378287,29.4907525055186,8.91150964567934,"stn6","d1","b"
"stn6-d1-bulk-L",41.6364139137452,46.0732539252365,39.1803902043224,42.2966860144347,3.49354576383149,"stn6","d1","L"
"stn6-d1-bulk-p1",4.25513027014678,3.86034674456333,0.958492174199912,3.02465639630334,1.80020539176596,"stn6","d1","p1"
"stn6-d1-bulk-p2",875.669028192526,96.9202400900069,332.529468940338,435.03957907429,399.366574405698,"stn6","d1","p2"
"stn6-d1-bulk-p3",34.1655573692517,31.6887727892812,31.8107906658924,32.5550402748085,1.39608240235799,"stn6","d1","p3"
"stn6-d1-bulk-p4",12.8998952683628,15.6679054921503,12.2222424325011,13.5966810643381,1.82545372832688,"stn6","d1","p4"
"stn6-d2-bulk-a",0.702399717210087,0.884215722308998,1.00460885403647,0.863741431185185,0.152141342320567,"stn6","d2","a"
"stn6-d2-bulk-b",17.3504788263891,36.674095329496,34.7348808330035,29.5864849962962,10.6409597057012,"stn6","d2","b"
"stn6-d2-bulk-L",69.9317832121304,26.3203587551577,52.0571986844952,49.4364468839278,21.9235111419611,"stn6","d2","L"
"stn6-d2-bulk-p1",29.440252967262,21.3126693190704,48.4615434810329,33.0714885891218,13.9339422336831,"stn6","d2","p1"
"stn6-d2-bulk-p2",184.566962150805,126.738822975859,360.025567159512,223.777117428726,121.485610097004,"stn6","d2","p2"
"stn6-d2-bulk-p3",40.1123446672169,30.7465625336016,27.5900713226254,32.8163261744813,6.5126625565891,"stn6","d2","p3"
"stn6-d2-bulk-p4",20.7779464915453,32.5837542839923,20.957881739663,24.7731941717335,6.76474176327409,"stn6","d2","p4"
"stn6-d3-bulk-a",1.92532599934154,2.55994548135907,1.36463691323906,1.94996946464656,0.598035215135328,"stn6","d3","a"
"stn6-d3-bulk-b",0.249873240592469,22.966356621477,1.72785666607575,8.31469550938173,12.7102119871882,"stn6","d3","b"
"stn6-d3-bulk-L",23.2263326385536,32.4082721426042,21.3536264362506,25.6627437391362,5.9163647801274,"stn6","d3","L"
"stn6-d3-bulk-p1",15.7259284482344,49.8193932439212,7.04252212529259,24.1959479391494,22.6113046573456,"stn6","d3","p1"
"stn6-d3-bulk-p2",25.4887398082477,56.7338352870529,32.2005999345479,38.1410583432828,16.4478199907874,"stn6","d3","p2"
"stn6-d3-bulk-p3",5.78519613263284,26.8589113379681,3.68336106711239,12.1091561792378,12.8168204166452,"stn6","d3","p3"
"stn6-d3-bulk-p4",6.54996712691809,25.7197132009163,4.90170314274294,12.3904611568591,11.5728524392599,"stn6","d3","p4"
"stn6-d4-bulk-a",0.609974671488711,1.03352726897178,0.812684347260347,0.818728762573613,0.211840982640336,"stn6","d4","a"
"stn6-d4-bulk-b",0.589142658875071,1.08674863445842,0.703532311344828,0.793141201559439,0.260624714173817,"stn6","d4","b"
"stn6-d4-bulk-L",7.5551993701401,6.58962344686226,7.57215351277901,7.23899210992712,0.562433646011809,"stn6","d4","L"
"stn6-d4-bulk-p1",6.04434628388111,0.728700436747323,0.432335602647507,2.40179410775865,3.15802118351882,"stn6","d4","p1"
"stn6-d4-bulk-p2",2.62637453530006,12.7034472863628,-0.188187876457532,5.04721131506843,6.77819314629833,"stn6","d4","p2"
"stn6-d4-bulk-p3",14.4532482251487,5.46143905023611,2.78822537801756,7.56763755113412,6.11107548635357,"stn6","d4","p3"
"stn6-d4-bulk-p4",8.90631741740907,20.0659770064505,17.3290798513335,15.4337914250643,5.81623496773329,"stn6","d4","p4"
"stn6-d5-bulk-a",0.382843796106438,0.32133978722189,0.264832024084273,0.323005202470867,0.059023510484522,"stn6","d5","a"
"stn6-d5-bulk-b",0.385956748080196,0.752196801792036,0.868218096381159,0.66879054875113,0.25171701233927,"stn6","d5","b"
"stn6-d5-bulk-L",33.0970904861911,22.670042655553,22.7073344989993,26.1581558802478,6.00932257160197,"stn6","d5","L"
"stn6-d5-bulk-p1",10.1656555888384,1.72999949698255,14.9244854950566,8.94004686029254,6.68208072047616,"stn6","d5","p1"
"stn6-d5-bulk-p2",15.7710103227163,2.69697279142516,0.758926092228674,6.40896973545672,8.16546748326075,"stn6","d5","p2"
"stn6-d5-bulk-p3",22.2783125673324,8.75852791545234,17.0190439919574,16.0186281582474,6.81518658134584,"stn6","d5","p3"
"stn6-d5-bulk-p4",9.58421074967161,9.38594245177734,4.33240054298579,7.76751791481158,2.97655020084526,"stn6","d5","p4"
"stn7-d1-bulk-a",5.857952781159,3.95706293127264,2.91640393848748,4.24380655030637,1.49159103837076,"stn7","d1","a"
"stn7-d1-bulk-b",275.794554522138,291.816545581305,152.104011277554,239.905037126999,76.4587545970782,"stn7","d1","b"
"stn7-d1-bulk-L",123.897273479346,48.7607982562926,50.2529209101041,74.3036642152476,42.9558048159217,"stn7","d1","L"
"stn7-d1-bulk-p1",17.9514589561237,31.9853367248709,4.19438492813314,18.0437268697092,13.895705648439,"stn7","d1","p1"
"stn7-d1-bulk-p2",334.7011568201,400.212218554445,366.817351244772,367.243575539772,32.7576106081093,"stn7","d1","p2"
"stn7-d1-bulk-p3",12.4431301074139,18.3098835646971,81.2428995183104,37.3319710634738,38.1409481706534,"stn7","d1","p3"
"stn7-d1-bulk-p4",22.0788262063614,429.506780035089,24.8065270687385,158.797377770063,234.44518643814,"stn7","d1","p4"
"stn7-d2-bulk-a",0.955151911209078,1.75576879678373,0.866072285204206,1.19233099773234,0.489980009788359,"stn7","d2","a"
"stn7-d2-bulk-b",104.19208434859,87.7056328525987,61.4382628601277,84.4453266871053,21.5625719752163,"stn7","d2","b"
"stn7-d2-bulk-L",80.5487212556081,82.4799132830969,80.7607375641406,81.2631240342819,1.05908913024108,"stn7","d2","L"
"stn7-d2-bulk-p1",29.9818714550188,19.1010562303075,19.1004800990401,22.7278025947888,6.28220792036534,"stn7","d2","p1"
"stn7-d2-bulk-p2",178.385920241146,488.291914209087,133.630197042763,266.769343830999,193.144908242332,"stn7","d2","p2"
"stn7-d2-bulk-p3",28.0172638133117,19.0023968866128,41.0370471967954,29.3522359655733,11.0778186732991,"stn7","d2","p3"
"stn7-d2-bulk-p4",18.089083450249,20.8941687959566,8.73549440737623,15.9062488845273,6.36646807718865,"stn7","d2","p4"
"stn7-d3-bulk-a",0.198608304848373,0.489964579593456,0.134696587340801,0.274423157260876,0.189379923604788,"stn7","d3","a"
"stn7-d3-bulk-b",41.3272684942679,25.1616474115526,39.175317910344,35.2214112720548,8.77820366166748,"stn7","d3","b"
"stn7-d3-bulk-L",38.2090177627738,36.4696631801593,37.9941290938612,37.5576033455981,0.948290376249837,"stn7","d3","L"
"stn7-d3-bulk-p1",37.5143171131331,30.2222740320238,45.6517432079732,37.7961114510433,7.71859351174497,"stn7","d3","p1"
"stn7-d3-bulk-p2",10.868182060557,11.1573026449217,14.7783595994515,12.2679481016434,2.17888092706352,"stn7","d3","p2"
"stn7-d3-bulk-p3",3.54706092197697,3.69421575119827,3.3042597553974,3.51517880952421,0.196923262937878,"stn7","d3","p3"
"stn7-d3-bulk-p4",4.14205948284387,6.13787208771653,1.47287050744806,3.91760069266949,2.34058673142905,"stn7","d3","p4"
"stn7-d4-bulk-a",2.54429717516565,0.538991106385792,0.556819345351964,1.2133692089678,1.15265189885404,"stn7","d4","a"
"stn7-d4-bulk-b",1.93140564855777,2.33680449560088,5.99977388711852,3.42266134375905,2.24103075662774,"stn7","d4","b"
"stn7-d4-bulk-L",6.2797121573391,8.80445544626257,8.07083115060794,7.71833291806987,1.29875841544834,"stn7","d4","L"
"stn7-d4-bulk-p1",4.22551293290974,3.20577087733548,0.564844581275461,2.66537613050689,1.88921757798411,"stn7","d4","p1"
"stn7-d4-bulk-p2",9.78763345384728,4.21041162156174,4.07739342068254,6.02514616536385,3.25908827855902,"stn7","d4","p2"
"stn7-d4-bulk-p3",3.9662077372637,0.123074860880675,0.0128095408147688,1.36736404631971,2.25133982500906,"stn7","d4","p3"
"stn7-d4-bulk-p4",14.9817050328913,19.720044688573,21.7216794437402,18.8078097217348,3.46134991596723,"stn7","d4","p4"
"stn7-d5-bulk-a",0.145274087830148,1.41375590043382,0.353438975108457,0.637489654457476,0.68027576655027,"stn7","d5","a"
"stn7-d5-bulk-b",1.71312814289574,2.11852698993885,0.692441141223132,1.50803209135257,0.734832297021404,"stn7","d5","b"
"stn7-d5-bulk-L",23.2870530552937,8.01877366149545,8.26215497327,13.1893272300197,8.74573374552038,"stn7","d5","L"
"stn7-d5-bulk-p1",3.03262220286269,0.326876680723534,20.6450995257403,8.00153280310884,11.0329098296809,"stn7","d5","p1"
"stn7-d5-bulk-p2",11.8977069595652,7.1087876575629,8.06484343816053,9.02377935176288,2.53438465609897,"stn7","d5","p2"
"stn7-d5-bulk-p3",3.0401314416181,3.87766238293521,3.03336098299446,3.31705160251592,0.485514979294391,"stn7","d5","p3"
"stn7-d5-bulk-p4",3.44527240730946,11.6802511180314,6.9991786523985,7.37490072591312,4.1303261250058,"stn7","d5","p4"
"stn8-d1-bulk-a",0.583309177361121,1.23112576084102,0.519530315683571,0.777988417961903,0.393722014158313,"stn8","d1","a"
"stn8-d1-bulk-b",18.2558314408069,6.64500122671664,5.04463671734647,9.98182312829001,7.21004173409642,"stn8","d1","b"
"stn8-d1-bulk-L",32.7725855115536,16.3730443847415,33.0310327907238,27.392220895673,9.5437616788835,"stn8","d1","L"
"stn8-d1-bulk-p1",6.92868332720977,4.02526993459665,5.53391687484117,5.49595671221586,1.45207887615006,"stn8","d1","p1"
"stn8-d1-bulk-p2",23.6647472391818,126.391356849858,9.36805540046128,53.1413864965005,63.8378216025477,"stn8","d1","p2"
"stn8-d1-bulk-p3",20.8049366180197,9.97511646411732,29.5954289116205,20.1251606645858,9.82780426364719,"stn8","d1","p3"
"stn8-d1-bulk-p4",8.54394690662945,8.18110939384257,6.91891133562479,7.88132254536561,0.852988433478101,"stn8","d1","p4"
"stn8-d2-bulk-a",0.878937280479774,0.791470649324128,0.604353951731708,0.75825396051187,0.140272992476563,"stn8","d2","a"
"stn8-d2-bulk-b",6.65076593209041,6.30723012511549,3.43972261694575,5.46590622471722,1.76311350229355,"stn8","d2","b"
"stn8-d2-bulk-L",17.1492217878907,20.6735657345934,28.7471769859693,22.1899881694845,5.9458215534054,"stn8","d2","L"
"stn8-d2-bulk-p1",5.82490059082014,9.72872453054874,4.65756040998341,6.7370618437841,2.65578707692915,"stn8","d2","p1"
"stn8-d2-bulk-p2",31.0418013641789,46.1973433014537,24.9777109546803,34.072285206771,10.9295962172999,"stn8","d2","p2"
"stn8-d2-bulk-p3",9.42067505609045,7.53417149008223,132.206659204797,49.7205019169899,71.4413348979971,"stn8","d2","p3"
"stn8-d2-bulk-p4",11.2551761337969,93.0373672878198,4.50153669474964,36.2646933721221,49.2824034425247,"stn8","d2","p4"
"stn8-d3-bulk-a",0.494933229067104,0.498548756785886,0.986932333451889,0.66013810643496,0.283017875970522,"stn8","d3","a"
"stn8-d3-bulk-b",0.324254535882083,0.692952489444943,0.612355255892829,0.543187427073285,0.193836752573054,"stn8","d3","b"
"stn8-d3-bulk-L",3.37048896183694,7.41487595701067,7.46254902605501,6.08263798163421,2.34891089860141,"stn8","d3","L"
"stn8-d3-bulk-p1",4.22601407640552,19.3803115311705,6.39055618776446,9.99896059844684,8.19625643999432,"stn8","d3","p1"
"stn8-d3-bulk-p2",21.1009603079033,17.0223854296133,9.9061219700843,16.0098225692003,5.66569183879528,"stn8","d3","p2"
"stn8-d3-bulk-p3",19.9963462783831,4.85038852704566,6.05525872619948,10.3006645105427,8.4182903107832,"stn8","d3","p3"
"stn8-d3-bulk-p4",8.45454584121383,11.4138180394078,4.86455024533142,8.24430470865101,3.27969177820072,"stn8","d3","p4"
"stn8-d4-bulk-a",0.13789314833112,0.464744011903562,0.134404116548157,0.245680425594279,0.189722651443387,"stn8","d4","a"
"stn8-d4-bulk-b",4.76776300263962,0.761222187093235,0.27381305898206,1.93426608290497,2.46595225220417,"stn8","d4","b"
"stn8-d4-bulk-L",30.9697351896488,8.92849221397202,5.61586119627875,15.1713628666332,13.7816837544371,"stn8","d4","L"
"stn8-d4-bulk-p1",7.29407923160737,4.87011990104443,4.43326960011455,5.53248957758878,1.54113858176824,"stn8","d4","p1"
"stn8-d4-bulk-p2",15.7225113583884,2.78963177583924,2.744817431449,7.0856535218922,7.47977185796797,"stn8","d4","p2"
"stn8-d4-bulk-p3",21.016926344472,15.4050769013482,2.76012287790038,13.0607087079068,9.35145790099436,"stn8","d4","p3"
"stn8-d4-bulk-p4",8.82882586047826,10.0801282920802,6.6531700703966,8.52070807431835,1.73413179744281,"stn8","d4","p4"
"stn8-d5-bulk-a",17.2038435072963,0.494721342127143,1.14951711286433,6.28269398742927,9.46365782886371,"stn8","d5","a"
"stn8-d5-bulk-b",0.615091833105569,0.386456365812926,1.21316953766735,0.738239245528615,0.426892997154169,"stn8","d5","b"
"stn8-d5-bulk-L",17.5604823701435,17.4142607713309,15.2118298754114,16.7288576722952,1.31581730927153,"stn8","d5","L"
"stn8-d5-bulk-p1",9.83265340802412,10.2828715822868,5.71572872383288,8.61041790471462,2.51696110250922,"stn8","d5","p1"
"stn8-d5-bulk-p2",10.5580846022813,3.83224923614979,4.15811207052596,6.18281530298569,3.79259577700104,"stn8","d5","p2"
"stn8-d5-bulk-p3",14.8183222425454,4.06341511195912,3.42270530135711,7.43481421862054,6.40232538378614,"stn8","d5","p3"
"stn8-d5-bulk-p4",14.0639401657764,13.6932844053535,10.7341742966502,12.83046628926,1.82487712240959,"stn8","d5","p4"
"stn1-d1-bulk-a",1.87455949346639,2.08834203011444,3.57975125020249,2.51421759126111,0.928949528767131,"stn1","d1","a"
"stn1-d1-bulk-b",0.219904128169792,0.15793921494433,0.144650366984203,0.174164570032775,0.0401650190334075,"stn1","d1","b"
"stn1-d1-bulk-L",0.00446195764762182,0.00221837442303548,0.0899197905943094,0.0322000408883222,0.0499993554559733,"stn1","d1","L"
"stn1-d1-bulk-p1",0.00642032603373381,0.0127730460743275,0.0217998439190974,0.0136644053423863,0.00772840757239941,"stn1","d1","p1"
"stn1-d1-bulk-p2",0.00720586862555887,0.00492366731698521,0.00719795530621223,0.00644249708291877,0.00131535111227767,"stn1","d1","p2"
"stn1-d1-bulk-p3",3.01357754776053,2.03425326038647,1.64076177097147,2.22953085970616,0.706934080977343,"stn1","d1","p3"
"stn1-d1-bulk-p4",0.00267459487157141,0.00416029577434512,0.0061801318436651,0.00433834082986054,0.00175953755203578,"stn1","d1","p4"
"stn1-d2-bulk-a",0.43131238226321,0.397268029393516,0.0364680152723684,0.288349475643031,0.218798896362441,"stn1","d5","a"
"stn1-d2-bulk-b",0.349007358569192,0.290707986535993,0.354948088892225,0.331554477999137,0.0354985910682278,"stn1","d5","b"
"stn1-d2-bulk-L",0.00230938509912788,0.00258551010065698,0.00153539104604199,0.00214342874860895,0.000544374540114196,"stn1","d5","L"
"stn1-d2-bulk-p1",6.8461102369682,5.89409336696347,6.22237863644013,6.3208607467906,0.483588745462209,"stn1","d5","p1"
"stn1-d2-bulk-p2",0.00932660328225277,0.003827068127492,0.00336276842954392,0.00550547994642956,0.00331732289852197,"stn1","d5","p2"
"stn1-d2-bulk-p3",5.16537147911912,4.32052058333656,3.30688783322764,4.26425996522777,0.930518300934487,"stn1","d5","p3"
"stn1-d2-bulk-p4",0.00671079200794521,0.00570126343715097,0.00558084345634581,0.00599763296714733,0.000620541784288612,"stn1","d5","p4"
"stn2-d1-bulk-a",0.143782288862872,0.112298568948366,0.146990373345761,0.134357077052333,0.0191704534725169,"stn2","d1","a"
"stn2-d1-bulk-b",0.236225804702067,0.239763618000078,0.317847988811485,0.264612470504543,0.0461372337466108,"stn2","d1","b"
"stn2-d1-bulk-L",0.00499554392249862,0.0352334998822969,0.00263849398918181,0.0142891792646591,0.0181765603373643,"stn2","d1","L"
"stn2-d1-bulk-p1",4.86368533453172,3.47650363331316,2.97606428532523,3.77208441772337,0.977908127809699,"stn2","d1","p1"
"stn2-d1-bulk-p2",0.00140377568068267,0.00385094910382783,0.000962171247874364,0.00207229867746162,0.00155610141802471,"stn2","d1","p2"
"stn2-d1-bulk-p3",2.74416321427075,1.33106735769579,1.40321678923682,1.82614912040112,0.795841562451589,"stn2","d1","p3"
"stn2-d1-bulk-p4",0.00578056488627307,0.00575448715060576,0.00810148341933806,0.00654551181873897,0.00134757401595518,"stn2","d1","p4"
"stn2-d2-bulk-a",0.0746174725587414,0.128924420214402,0.0570537031892836,0.0868651986541425,0.0374680542236604,"stn2","d5","a"
"stn2-d2-bulk-b",0.209745565052287,0.132032026672424,0.109934563832399,0.150570718519037,0.0524244343094598,"stn2","d5","b"
"stn2-d2-bulk-L",0.00222927519135383,0.00613833479292528,0.00414620825944908,0.0041712727479094,0.00195465033026263,"stn2","d5","L"
"stn2-d2-bulk-p1",3.54069684879288,4.14479674152866,3.63619893672098,3.77389750901417,0.324738114038886,"stn2","d5","p1"
"stn2-d2-bulk-p2",0.00498519393243482,0.00118743510748339,0.00155597160289593,0.00257620021427138,0.00209437170476635,"stn2","d5","p2"
"stn2-d2-bulk-p3",3.98413275603543,1.68844903993453,0.93584292400876,2.2028082399929,1.58790483500203,"stn2","d5","p3"
"stn2-d2-bulk-p4",0.00269904571274222,0.00160711634915019,0.00222672336536674,0.00217762847575305,0.000547617717854582,"stn2","d5","p4"
